codigo_1,codigo_2,municipio,score_nombre,score_direccion,telefono_igual,decision
03-01-0090-46,03-01-0151-46,ANTIGUA GUATEMALA,1.0,1.0,True,pendiente_revision_manual
03-01-0090-46,03-01-0152-46,ANTIGUA GUATEMALA,1.0,1.0,True,pendiente_revision_manual
03-01-0090-46,03-01-1127-46,ANTIGUA GUATEMALA,0.9892,1.0,True,pendiente_revision_manual
03-01-0151-46,03-01-0152-46,ANTIGUA GUATEMALA,1.0,1.0,True,pendiente_revision_manual
03-01-0151-46,03-01-1127-46,ANTIGUA GUATEMALA,0.9892,1.0,True,pendiente_revision_manual
03-01-0152-46,03-01-1127-46,ANTIGUA GUATEMALA,0.9892,1.0,True,pendiente_revision_manual
03-01-0172-46,03-01-0860-46,ANTIGUA GUATEMALA,1.0,1.0,True,pendiente_revision_manual
03-01-0172-46,03-01-1394-46,ANTIGUA GUATEMALA,1.0,1.0,True,pendiente_revision_manual
03-01-0179-46,03-01-0267-46,ANTIGUA GUATEMALA,1.0,1.0,True,pendiente_revision_manual
03-01-0860-46,03-01-1394-46,ANTIGUA GUATEMALA,1.0,1.0,True,pendiente_revision_manual
03-01-1035-46,03-01-1304-46,ANTIGUA GUATEMALA,1.0,1.0,False,pendiente_revision_manual
03-01-0075-46,03-01-0184-46,ANTIGUA GUATEMALA,1.0,0.9756,True,pendiente_revision_manual
03-01-0245-46,03-01-1340-46,ANTIGUA GUATEMALA,1.0,0.775,True,pendiente_revision_manual
03-01-0245-46,03-01-1341-46,ANTIGUA GUATEMALA,1.0,0.775,False,pendiente_revision_manual
03-01-0245-46,03-01-1343-46,ANTIGUA GUATEMALA,1.0,0.6139,False,pendiente_revision_manual
03-01-0245-46,03-01-1344-46,ANTIGUA GUATEMALA,1.0,0.6139,False,pendiente_revision_manual
03-01-1340-46,03-01-1341-46,ANTIGUA GUATEMALA,1.0,1.0,False,pendiente_revision_manual
03-01-1340-46,03-01-1343-46,ANTIGUA GUATEMALA,1.0,0.7126,False,pendiente_revision_manual
03-01-1340-46,03-01-1344-46,ANTIGUA GUATEMALA,1.0,0.7126,False,pendiente_revision_manual
03-01-1341-46,03-01-1343-46,ANTIGUA GUATEMALA,1.0,0.7126,True,pendiente_revision_manual
03-01-1341-46,03-01-1344-46,ANTIGUA GUATEMALA,1.0,0.7126,False,pendiente_revision_manual
03-01-1343-46,03-01-1344-46,ANTIGUA GUATEMALA,1.0,1.0,False,pendiente_revision_manual
03-01-0147-46,03-01-0811-46,ANTIGUA GUATEMALA,1.0,1.0,True,pendiente_revision_manual
03-01-0147-46,03-01-0830-46,ANTIGUA GUATEMALA,1.0,0.9804,False,pendiente_revision_manual
03-01-0811-46,03-01-0830-46,ANTIGUA GUATEMALA,1.0,0.9804,False,pendiente_revision_manual
03-01-0052-46,03-01-0271-46,ANTIGUA GUATEMALA,1.0,1.0,True,pendiente_revision_manual
03-01-0052-46,03-01-0272-46,ANTIGUA GUATEMALA,1.0,1.0,True,pendiente_revision_manual
03-01-0052-46,03-01-1402-46,ANTIGUA GUATEMALA,1.0,1.0,True,pendiente_revision_manual
03-01-0271-46,03-01-0272-46,ANTIGUA GUATEMALA,1.0,1.0,True,pendiente_revision_manual
03-01-0271-46,03-01-1402-46,ANTIGUA GUATEMALA,1.0,1.0,True,pendiente_revision_manual
03-01-0272-46,03-01-1402-46,ANTIGUA GUATEMALA,1.0,1.0,True,pendiente_revision_manual
03-01-0257-46,03-01-1150-46,ANTIGUA GUATEMALA,1.0,0.2667,False,pendiente_revision_manual
03-01-0257-46,03-01-1151-46,ANTIGUA GUATEMALA,1.0,0.2667,False,pendiente_revision_manual
03-01-0257-46,03-01-1152-46,ANTIGUA GUATEMALA,1.0,0.2667,False,pendiente_revision_manual
03-01-0257-46,03-01-1158-46,ANTIGUA GUATEMALA,1.0,1.0,True,pendiente_revision_manual
03-01-0257-46,03-01-1293-46,ANTIGUA GUATEMALA,1.0,1.0,True,pendiente_revision_manual
03-01-0300-46,03-01-1056-46,ANTIGUA GUATEMALA,1.0,1.0,True,pendiente_revision_manual
03-01-0300-46,03-01-1382-46,ANTIGUA GUATEMALA,1.0,0.3377,False,pendiente_revision_manual
